itu_bdt_regions,iso_code,entity_name,year,currency,type,value
The Americas,ARG,Argentina,2018,GNIpc,Fixed broadband 5GB,4.67
The Americas,ARG,Argentina,2019,GNIpc,Fixed broadband 5GB,5.52
The Americas,ARG,Argentina,2020,GNIpc,Fixed broadband 5GB,6.96
The Americas,ARG,Argentina,2018,PPP,Fixed broadband 5GB,NA
The Americas,ARG,Argentina,2019,PPP,Fixed broadband 5GB,NA
The Americas,ARG,Argentina,2020,PPP,Fixed broadband 5GB,125.72
The Americas,ARG,Argentina,2018,USD,Fixed broadband 5GB,48.16
The Americas,ARG,Argentina,2019,USD,Fixed broadband 5GB,56.95
The Americas,ARG,Argentina,2020,USD,Fixed broadband 5GB,38.15
The Americas,BOL,Bolivia (Plurinational State of),2018,GNIpc,Fixed broadband 5GB,7.58
The Americas,BOL,Bolivia (Plurinational State of),2019,GNIpc,Fixed broadband 5GB,7.58
The Americas,BOL,Bolivia (Plurinational State of),2020,GNIpc,Fixed broadband 5GB,7.68
The Americas,BOL,Bolivia (Plurinational State of),2018,PPP,Fixed broadband 5GB,42.6
The Americas,BOL,Bolivia (Plurinational State of),2019,PPP,Fixed broadband 5GB,42.6
The Americas,BOL,Bolivia (Plurinational State of),2020,PPP,Fixed broadband 5GB,59.04
The Americas,BOL,Bolivia (Plurinational State of),2018,USD,Fixed broadband 5GB,21.27
The Americas,BOL,Bolivia (Plurinational State of),2019,USD,Fixed broadband 5GB,21.27
The Americas,BOL,Bolivia (Plurinational State of),2020,USD,Fixed broadband 5GB,22.29
The Americas,BRA,Brazil,2018,GNIpc,Fixed broadband 5GB,1.43
The Americas,BRA,Brazil,2019,GNIpc,Fixed broadband 5GB,1.43
The Americas,BRA,Brazil,2020,GNIpc,Fixed broadband 5GB,2.51
The Americas,BRA,Brazil,2018,PPP,Fixed broadband 5GB,17.74
The Americas,BRA,Brazil,2019,PPP,Fixed broadband 5GB,17.74
The Americas,BRA,Brazil,2020,PPP,Fixed broadband 5GB,29.17
The Americas,BRA,Brazil,2018,USD,Fixed broadband 5GB,10.92
The Americas,BRA,Brazil,2019,USD,Fixed broadband 5GB,10.92
The Americas,BRA,Brazil,2020,USD,Fixed broadband 5GB,13
The Americas,CHL,Chile,2018,GNIpc,Fixed broadband 5GB,2.68
The Americas,CHL,Chile,2019,GNIpc,Fixed broadband 5GB,2.68
